urn	assay_family	subtype_enum	subtype_value	directionality	scale	baseline	units	interpreter	neutral_bands	flexibility_requirement	needs_gene_specific_rules	nonmonotonic	ambiguous	rationale	q05	q95	n_syn_used	band_source	file_path
urn:mavedb:00000094-a-11	Electrophysiology	EphysSubtype	V1_2	NON_MONOTONIC	CENTERED_0	WT~=0	mV	EphysInterpreter	[NA, NA]	False	False	False	False	Title/method explicitly measure V1/2 shifts in KCNQ4 co-expressed with WT; electrophysiology V1/2 mapping selected; GoF/LoF depends on gene-specific rule.	-12.2427198960905	4.2233198960905005	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000094-a-11.scores.csv
urn:mavedb:00000094-a-8	Electrophysiology	EphysSubtype	CURRENT_DENSITY	NON_MONOTONIC	CENTERED_0	WT~=0	pA/pF	EphysInterpreter	[NA, NA]	False	False	False	False	KCNQ4 ion channel with 'Normalized currents ... co-expressing ... with WT' (title/method/abstract), indicating electrophysiology current measurements; exact units/WT anchoring not specified, so map to CURRENT_DENSITY which is non-monotonic and requires gene-specific rules.			0	mad_na_insufficient_n	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000094-a-8.scores.csv
urn:mavedb:00000094-a-9	Electrophysiology	EphysSubtype	V1_2	NON_MONOTONIC	CENTERED_0	WT~=0	mV	EphysInterpreter	[NA, NA]	False	False	False	False	Title/abstract/methods explicitly report V1/2 for KCNQ4 variants co-expressed with WT; V1/2 is a non-monotonic electrophysiology metric requiring gene-specific rules.			0	mad_na_insufficient_n	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000094-a-9.scores.csv
urn:mavedb:00000094-a-2	Electrophysiology	EphysSubtype	CURRENT_DENSITY	NON_MONOTONIC	CENTERED_0	WT~=0	pA/pF	EphysInterpreter	[NA, NA]	False	False	False	False	Title/abstract state 'Normalized currents' for KCNQ4 variants, consistent with electrophysiology current density; no explicit WT=1 or log2 details, and Ephys current changes are non-monotonic without gene-specific rules.	0.3257164979269998	1.444083502073	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000094-a-2.scores.csv
urn:mavedb:00000094-a-10	Electrophysiology	EphysSubtype	CURRENT_DENSITY	NON_MONOTONIC	CENTERED_0	WT~=0	pA/pF	EphysInterpreter	[NA, NA]	False	False	False	False	Title/abstract/methods describe normalized currents for KCNQ4 variants co-expressed with WT and note V1/2 shifts; this indicates an electrophysiology current amplitude/density readout relative to WT.	0.7392581086775	1.4574418913225	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000094-a-10.scores.csv
urn:mavedb:00000095-a-1	Activity	ActivitySubtype	ENZYME_ACTIVITY_REL	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ActivityInterpreter	[NA, NA]	False	False	False	False	Title and description specify an enzyme activity assay (Click-seq) in yeast producing activity scores; higher activity indicates more function and scores are typically normalized to WT in such DMS assays.	0.8795790895	1.101913243	251	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000095-a-1.scores.csv
urn:mavedb:00000095-b-1	Abundance	AbundanceSubtype	VAMP_SEQ	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	False	False	False	False	Title and shortDescription state VAMP-seq abundance assay in HEK293T for CYP2C9, matching Abundance/VAMP_SEQ (WT-relative, higher abundance indicates more function).	0.7707450399	1.2118144692	262	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000095-b-1.scores.csv
urn:mavedb:00000096-a-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Yeast growth rescue of an hxk1Δhxk2Δglk1Δ strain by human GCK expression indicates functional complementation; higher growth reflects higher GCK activity (title and shortDescription). Scores derived from pre/post selection TileSeq (methodText) are consistent with a relative, monotonic complementation readout.	0.3390260193	1.8152706231999995	359	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000096-a-1.scores.csv
urn:mavedb:00000096-b-1	Abundance	AbundanceSubtype	TOTAL_EXPRESSION	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	False	False	False	False	Title and shortDescription explicitly state cellular protein abundance measured via DHFR-PCA in yeast; dataset provides a single processed 'score' column consistent with relative abundance. No explicit neutral band or alternative scale provided.	0.7186441212419687	1.27854929566165	379	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000096-b-1.scores.csv
urn:mavedb:00000097-k-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment ratios (day11 over input) for viability selection; final 'score' is LOESS-corrected day11 log2 ratio, which matches Fitness LOG2_ENRICHMENT semantics.	-0.7604812892780812	0.4522929335419416	50	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-k-1.scores.csv
urn:mavedb:00000097-i-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method text states score_raw and score_day5 are log2-transformed ratios of variant frequency post-selection (day 11/day 5) over input; the final score is LOESS-normalized log2 enrichment for viability in HAP1 cells, matching Fitness LOG2_ENRICHMENT where higher values indicate better fitness.	-0.7629899638325821	0.640778597996661	61	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-i-1.scores.csv
urn:mavedb:00000097-w-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Viability selection in HAP1 cells; scores are log2 ratios of day11 vs input with LOESS normalization (methodText) yielding centered log2 enrichment where WT≈0.	-1.1529802722295888	1.050207318041314	37	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-w-1.scores.csv
urn:mavedb:00000097-z-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment of variant frequency at day 11 over input, with LOESS-based position normalization (metadata: 'log2-transformed ratio... model’s output was subtracted... producing the score'). This matches fitness log2 enrichment centered near WT≈0.	-1.006612211708955	0.538778166391171	63	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-z-1.scores.csv
urn:mavedb:00000097-b-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Viability in HAP1 cells measured as log2-transformed enrichment (day11/input); LOESS-normalized and centered around 0, matching fitness log2 enrichment semantics.	-0.7214213641410013	0.5179212455169773	44	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-b-1.scores.csv
urn:mavedb:00000097-c-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Assay measures viability via selection in HAP1 cells; scores are log2-transformed enrichment (day11/input) with LOESS normalization to produce a centered log2 score (“score”), matching Fitness LOG2_ENRICHMENT.	-0.483463420624927	0.1972475849764989	29	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-c-1.scores.csv
urn:mavedb:00000097-m-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment ratios of variant frequency at day11 over input, adjusted by day5 LOESS; viability selection in HAP1 cells indicates a fitness readout.	-0.6772480602127455	0.3273583326459193	49	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-m-1.scores.csv
urn:mavedb:00000097-0-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Assay measures variant viability/enrichment in HAP1 cells over time (day5/day11 counts) and reports LOESS-corrected log2 ratios normalized across exons; higher enrichment indicates better function.	-0.6545245132547821	0.4900332547592327	579	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-0-1.scores.csv
urn:mavedb:00000097-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText states scores are log2-transformed enrichment (day11/input) for viability in HAP1 cells, with LOESS-based positional normalization; this matches Fitness LOG2_ENRICHMENT centered ~0.	-0.6909715666730494	0.3852698602436798	44	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-a-1.scores.csv
urn:mavedb:00000097-d-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText states scores are log2-transformed enrichment ratios (day11/input) with LOESS normalization and assay is viability in HAP1 cells, matching Fitness LOG2_ENRICHMENT semantics.	-0.6376560635874271	0.2383876076365325	29	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-d-1.scores.csv
urn:mavedb:00000097-e-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method states scores are log2-transformed ratios of day11 over input (and LOESS-corrected), i.e., log2 enrichment from pooled viability selection; higher enrichment indicates better function and scores are centered near 0.	-0.7356769448419272	0.4520016745686955	42	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-e-1.scores.csv
urn:mavedb:00000097-j-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment of variant frequency after viability selection (day11/input), with LOESS normalization applied to center values; consistent with fitness log2 enrichment.	-0.8125293541167149	0.5119897315847151	61	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-j-1.scores.csv
urn:mavedb:00000097-f-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment ratios of variant frequency at day 11 over input, with LOESS-normalized output reported as `score`; viability in HAP1 indicates a fitness assay.	-0.6462923481556734	0.5425878152221094	42	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-f-1.scores.csv
urn:mavedb:00000097-n-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method text states score_raw and score_day5 are log2(transformed) ratios of variant frequency (day11 or day5) over input; the final score is the day11 log2 ratio corrected by LOESS using day5. The abstract describes viability selection in HAP1 cells, consistent with fitness log2 enrichment centered around 0.	-0.5859969020170233	0.1948367190677327	49	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-n-1.scores.csv
urn:mavedb:00000097-g-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText states score_raw and score_day5 are log2-transformed enrichment (day11 or day5 over input); LOESS normalization on day5 was subtracted from day11 log ratios to produce the final score, reflecting viability selection in HAP1 cells. This matches monotonic log2 enrichment fitness.	-2.0598405319845448	0.5442426930903873	52	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-g-1.scores.csv
urn:mavedb:00000097-h-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment of variant frequency at day11 vs input, with positional LOESS subtraction; assay measures viability in HAP1 cells, matching Fitness LOG2_ENRICHMENT (0≈neutral).	-0.8049026211827762	0.7883477317478245	52	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-h-1.scores.csv
urn:mavedb:00000097-l-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment of day11 vs input (viability in HAP1) with LOESS-corrected day11 log ratios; higher enrichment => more function.	-1.054613425055023	0.4628409102554397	50	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-l-1.scores.csv
urn:mavedb:00000097-s-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Viability-based selection in HAP1 with scores as log2(day11/input) and LOESS-normalized to be centered; higher enrichment indicates better function (metadata: 'log2-transformed ratio... day 11 over input' and 'model’s output was subtracted').	-1.108973690535405	1.110950456161555	31	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-s-1.scores.csv
urn:mavedb:00000097-o-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Variant viability in HAP1 cells with scores defined as log2-transformed enrichment (day11/input), then position-normalized via LOESS to yield a score centered around WT≈0 (metadata: 'score_raw' log2(day11/input); 'score' subtracts LOESS fit from day5).	-0.6506195363551396	0.4980267556000599	20	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-o-1.scores.csv
urn:mavedb:00000097-p-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2 ratios of day11 over input, then LOESS-normalized using day5 data, measuring viability in HAP1 cells; resulting values are centered around ~0 with higher enrichment indicating better function.	-0.4656426973747696	0.5718375844892004	20	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-p-1.scores.csv
urn:mavedb:00000097-q-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment of variant frequency at day11 over input, normalized by subtracting a LOESS fit from day5 (viability selection in HAP1). This matches Fitness LOG2_ENRICHMENT with centered log2 scale.	-0.5575518540896227	0.5599707287622238	50	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-q-1.scores.csv
urn:mavedb:00000097-r-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method states scores are log2-transformed ratios of variant frequencies (day11/input), then LOESS-normalized to produce 'score'; viability in HAP1 cells implies higher enrichment=higher function.	-0.4035606763326001	0.5106169618209299	50	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-r-1.scores.csv
urn:mavedb:00000097-x-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText states scores are log2-transformed enrichment (day11/input) with position-based LOESS correction, measuring viability in HAP1 cells; higher enrichment indicates more function.	-1.0800699216213698	1.385129586869443	37	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-x-1.scores.csv
urn:mavedb:00000097-t-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment ratios of variant frequency (day11 over input), LOESS-normalized for position, reflecting cell viability in HAP1 (fitness).	-0.9300669780511404	0.981056783105488	31	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-t-1.scores.csv
urn:mavedb:00000097-u-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2-transformed enrichment of variant frequency (day11/input) with positional LOESS correction, measuring viability selection in HAP1 cells; higher log2 enrichment indicates more function.	-0.311059171053329	0.4298327802786839	51	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-u-1.scores.csv
urn:mavedb:00000097-v-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Viability-based selection in HAP1 cells; scores are log2-transformed ratios of day11 over input with LOESS correction (still log2 enrichment, centered at ~0).	-0.5322980448011476	0.4221201667606509	51	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-v-1.scores.csv
urn:mavedb:00000097-y-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Scores are log2 ratios of day11 over input with LOESS normalization (score_raw/score_day5 described as log2-transformed ratios) in a viability selection assay in HAP1 cells, consistent with fitness log2 enrichment.	-0.8681329083445172	0.4960573226341441	63	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000097-y-1.scores.csv
urn:mavedb:00000098-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	MethodText describes log-ratio enrichment (log10(fd/fi)) under drug challenge, averaged across replicates and rescaled using nonsense/synonymous controls; classification is relative to WT 95% CI, so this is a selection-based fitness/enrichment assay with higher scores interpreted as more functional.	21.050190991000026	152.249809009	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000098-a-1.scores.csv
urn:mavedb:00000099-a-1	Abundance	AbundanceSubtype	CELL_SURFACE_TRAFF	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	False	False	False	False	Flow cytometry cell surface expression of RHO; score defined as log2 of variant-to-WT ratios across high/low gates, i.e., WT-anchored relative enrichment.	-1.356154493462082	3.68302566084952	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000099-a-1.scores.csv
urn:mavedb:00000100-b-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Method states fitness values were computed from resistance midpoints across ampicillin concentrations and normalized to wild-type, implying a WT-anchored, monotonic fitness metric.	-0.0016209401285628	0.0079117660667192	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000100-b-1.scores.csv
urn:mavedb:00000100-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Fitness across ampicillin concentrations with counts per concentration (c_0.25–c_1024); scores computed as midpoint resistance concentration normalized to wild-type (methodText), indicating WT-anchored fitness consistent with log2 enrichment.	-0.0221292739920674	0.0561168251253261	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000100-a-1.scores.csv
urn:mavedb:00000101-a-1	Abundance	AbundanceSubtype	VAMP_SEQ	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	False	False	False	False	VAMP-seq abundance assay with scores min-max normalized to WT=1 and nonsense=0 (methodText), so higher score indicates higher abundance relative to WT.	-0.0246834468554904	1.4759324929425004	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000101-a-1.scores.csv
urn:mavedb:00000102-0-1	Abundance	AbundanceSubtype	VAMP_SEQ	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	AbundanceInterpreter	[NA, NA]	False	False	False	False	Title and shortDescription explicitly state VAMP-seq abundance for PTEN; methodText indicates averaging replicate VAMP-seq scores, consistent with WT-anchored relative abundance.	0.220569721235853	1.3174473362447188	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000102-0-1.scores.csv
urn:mavedb:00000103-b-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Replicate columns labeled DOX_REP_A-D and a single combined score suggest pooled selection under doxycycline-inducible expression, consistent with log2-enrichment fitness; no evidence for binding, reporter, or abundance units.	6.416239890061279	9.66521713093872	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000103-b-1.scores.csv
urn:mavedb:00000103-c-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Title and shortDescription indicate selection under ERK inhibitor SCH772984; datasetColumns list replicate selection scores (SCH_REP_A..F) and a summary score/SD, consistent with fitness-based log2 enrichment under drug selection rather than binding/abundance/activity.	0.8565202702448436	8.017302674755157	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000103-c-1.scores.csv
urn:mavedb:00000103-a-1	Other			NON_MONOTONIC	RAW	Assay-defined			[NA, NA]	False	False	False	False	ShortDescription indicates 'Average mutant sequencing reads' for the reference early time point (ETP); datasetColumns are counts/replicate averages without WT anchoring or fold-change. No monotonic functional mapping (e.g., log2 enrichment, activity, binding) is described.	6.906082791011137	9.337336810988862	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000103-a-1.scores.csv
urn:mavedb:00000103-d-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	"Pooled selection with drug (""selected with 3 microM VRT-11E"") and replicate enrichment columns (VRT_REP_A-D, VRT_SD) indicate a selection-based DMS scored as log2 enrichment/fitness."	2.768957870708205	9.458858937291795	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000103-d-1.scores.csv
urn:mavedb:00000104-a-2	Other			NON_MONOTONIC	RAW	Assay-defined			[NA, NA]	False	False	False	False	Title/shortDescription indicate a CRISPR screen, but metadata provides no clear score semantics (no log2 enrichment, WT anchoring, units, or direction). DatasetColumns list 'score', 'reads', and 'coverage' without defining how 'score' was derived; MethodText only describes hgvs_nt mapping. Without explicit normalization or selection context, mapping to Fitness LOG2_ENRICHMENT or any cataloged monotonic subtype is unsafe.	-0.0173213568157439	0.0557061257394349	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000104-a-2.scores.csv
urn:mavedb:00000104-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Title/description indicate a CRISPR screen; dataset columns include reads/coverage typical of pooled selection assays with per-variant enrichment scores. Best standardized mapping is Fitness LOG2_ENRICHMENT (higher enrichment implies greater function/fitness).	-0.0117215788908441	0.0439981243321855	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000104-a-1.scores.csv
urn:mavedb:00000105-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	mRNA display pull-down with IgG-FC; scores derived from selection vs input and made relative to WT (W = F_B,mut/F_B,wt), matching a WT-anchored enrichment fitness readout where higher enrichment indicates stronger binding.	-0.1996582128423865	0.4839997175201551	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000105-a-1.scores.csv
urn:mavedb:00000106-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	False	False	False	False	Selection for rifampin resistance in E. coli; score defined as normalized enrichment s = f_sel/f_init (methodText, datasetColumns), which reflects growth/fitness due to AID deaminase activity. Best match is Fitness LOG2_ENRICHMENT (enrichment-based selection), though the reported score is a ratio rather than log2.	-0.4230531025117788	1.582080230668935	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000106-a-1.scores.csv
