urn	assay_family	subtype_enum	subtype_value	directionality	scale	baseline	units	interpreter	neutral_bands	flexibility_requirement	needs_gene_specific_rules	nonmonotonic	ambiguous	rationale
urn:mavedb:00000236-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method states the score column is a dG value fitted from protease digestion data to assess folding; thus stability ΔG mapping is appropriate.
urn:mavedb:00000237-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Metadata states the primary score is a log10 K50 derived from sequence count ratios (not WT-centered or relative). dG columns exist but the designated score is K50, so map to Stability_K50 K50_RAW.
urn:mavedb:00000237-a-2	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Metadata states the score column is log10 K50 from chymotrypsin digestion to assess folding; this fits a K50-based stability assay where higher K50 indicates greater stability. No explicit WT anchoring is reported, but log-scale K50 is the closest standardized subtype.
urn:mavedb:00000237-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method states the score is a dG value fit from protease digestion to assess folding; dG (absolute) maps to Stability_DG/DG_KCAL_MOL where lower dG indicates more stable/function. No neutral thresholds provided.
urn:mavedb:00000238-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is a log10 K50 derived from sequence count ratios; no WT anchoring or centering described. Although dG columns are present, the designated 'score' column is K50-based, so map to K50_RAW.
urn:mavedb:00000238-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Assay measures folding by protease susceptibility; metadata states the score is log10 K50 per variant. Higher K50 indicates greater protease resistance (more folded), so higher=more function. Score is log-scaled; no explicit WT anchor provided, so neutral band is unknown.
urn:mavedb:00000238-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText explicitly states the score is a dG value fit across protease digests to assess folding; abstract describes protease digestion to measure folding. This matches Stability_DG (absolute dG).
urn:mavedb:00000239-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is a log10 K50 from protease digestion; higher K50 indicates greater folding stability. This is a protease-based stability assay not explicitly WT-centered, so the closest catalog mapping is Stability_K50 K50_RAW (monotonic, raw scale). Although dG columns exist, the main score is K50.
urn:mavedb:00000239-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is log10 K50 from trypsin digestion to assess folding; no WT-relative or centered normalization is described. dG columns are ancillary, but the main score is K50-derived, so Stability_K50 K50_RAW is the closest monotonic mapping.
urn:mavedb:00000239-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method text states the score column is a dG value fitted from protease digestion across trypsin/chymotrypsin to assess folding; dG stability metrics map to Stability_DG (DG_KCAL_MOL) with lower dG indicating more stable/function.
urn:mavedb:00000240-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fit from protease digestion data (trypsin/chymotrypsin) to assess folding; abstract confirms folding measurement, mapping to Stability ΔG.
urn:mavedb:00000240-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the score is the log10 K50 value from sequence count ratios; no WT-centered normalization is described. Protease digestion measures folding stability where higher K50 indicates greater stability. Although dG columns are present, the primary scoreset is log10 K50.
urn:mavedb:00000240-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the score is the log10 K50 value from chymotrypsin digestion to assess folding; scores appear absolute (not WT-centered). While dG columns exist, the primary score is K50, so map to Stability_K50 K50_RAW with higher K50 indicating greater stability.
urn:mavedb:00000241-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fitted directly across trypsin/chymotrypsin protease assays to assess folding; Abstract indicates folding/stability. dG mapping is monotonic with lower (more negative) indicating greater stability.
urn:mavedb:00000241-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Metadata states the primary score is a log10 K50 derived from trypsin digestion to assess folding; K50-based stability assays map to Stability_K50 and higher K50 indicates greater folding/stability. dG columns exist but are secondary to the main score.
urn:mavedb:00000241-a-2	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the score is a log10 K50 derived from sequence count ratios in a protease (chymotrypsin) digestion assay (metadata: 'score column is the log10 K50 value'); higher K50 indicates greater resistance/folding stability. dG values are secondary; primary assay matches K50 stability.
urn:mavedb:00000242-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fit across trypsin/chymotrypsin protease digestion; abstract describes folding stability measurement, so Stability_DG (DG_KCAL_MOL) is the closest TSV mapping.
urn:mavedb:00000242-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is the log10 K50 from trypsin digestion; datasetColumns list 'score' as log10 K50 and also provide dG, but the main score is not WT-relative or centered. K50 semantics map best to Stability_K50 K50_RAW with higher K50 indicating greater folding stability.
urn:mavedb:00000242-a-2	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the score is a log10 K50 derived from sequence count ratios; assay probes folding via chymotrypsin digestion and also reports dG from K50, consistent with standardized K50-based stability where higher K50 indicates greater stability/function.
urn:mavedb:00000243-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method text states the primary score is a log10 K50 derived from protease digestion to assess folding; dG is secondary. K50 stability assays map to HIGHER_IS_FUNCTION.
urn:mavedb:00000243-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is a log10 K50 from chymotrypsin digestion; no explicit WT-anchoring or centering is described. dG columns exist but the designated score is K50, so mapping to Stability_K50 RAW is safest.
urn:mavedb:00000243-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value from a Bayesian coupled protease model; Abstract describes protease digestion to assess folding, indicating stability free energy (ΔG) readout.
urn:mavedb:00000244-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method notes that the primary score is the log10 K50 value from a protease (trypsin) cleavage stability assay; higher K50 indicates greater folding stability. Columns include K50-based scores and derived dG, but the main score is log10 K50.
urn:mavedb:00000244-a-2	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the score is log10 K50 from protease digestion (chymotrypsin) to assess folding; primary score column is 'score' (log10 K50). This matches a monotonic K50 stability assay.
urn:mavedb:00000244-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fit across proteases; Abstract describes protease digestion to assay folding stability, consistent with ΔG stability.
urn:mavedb:00000245-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method text states the score is a dG value fit from protease digestion (trypsin/chymotrypsin) using a coupled Bayesian model, indicating a thermodynamic stability free energy readout (absolute dG, not ΔΔG).
urn:mavedb:00000245-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is log10 K50 from trypsin digestion; datasetColumns lists 'score' as log10 K50 and also 'dG' as a derived metric. There is no indication of WT anchoring or zero-centering, so the closest monotonic mapping is Stability_K50 with K50_RAW.
urn:mavedb:00000245-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Metadata states the primary score column is a log10 K50 from chymotrypsin digestion (protease susceptibility), indicating a stability proxy. No WT-centering or relative normalization is described; dG columns are auxiliary. Therefore map to raw K50-based stability where higher K50 implies higher stability.
urn:mavedb:00000246-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method states the score is a dG (folding free energy) fit from protease digestion across trypsin/chymotrypsin, implying stability ΔG; lower ΔG indicates more stable folding.
urn:mavedb:00000246-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the score is log10 K50 from trypsin digestion to assess folding (stability) and not WT-centered or relative; dG is provided as a separate derived field. Therefore map to Stability_K50 K50_RAW (monotonic: higher K50 ⇒ more stable).
urn:mavedb:00000246-a-2	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Primary score is log10 K50 from chymotrypsin digestion (‘score column is the log10 K50 value’), a folding-stability proxy where higher K50 indicates greater resistance to protease (more stable → more function). dG is ancillary; mapping is to Stability_K50.
urn:mavedb:00000247-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score column is a dG value fit via a coupled protease model; Abstract describes protease digestion to assess folding, consistent with stability ΔG semantics.
urn:mavedb:00000247-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is log10 K50 from protease digestion to assess folding; higher K50 indicates greater stability. dG is provided as a derived column, but the main score is K50.
urn:mavedb:00000247-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText says the score is the log10 K50 value derived from sequence count ratios; no WT-centered or relative normalization is described. Although dG columns are provided, the primary score is K50, so map to Stability_K50 K50_RAW.
urn:mavedb:00000248-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is a log10 K50 value from trypsin digestion (stability proxy) without WT-centered normalization; dG is provided but derived. DatasetColumns lists 'score' and 'score_unfolded' as log10 K50. Therefore map to Stability_K50: K50_RAW.
urn:mavedb:00000248-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is log10 K50 from chymotrypsin digestion; no WT anchoring or centering is indicated. Despite log10 transform, this is an absolute K50-derived stability readout, best aligned to K50_RAW.
urn:mavedb:00000248-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fit from protease digestion counts to assess folding; abstract describes trypsin/chymotrypsin digestion to measure folding stability, so ΔG of folding is the assay readout. Absolute dG (not ΔΔG) is reported, so map to Stability_DG/DG_KCAL_MOL with LOWER_IS_FUNCTION.
urn:mavedb:00000249-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fit by a Bayesian model from protease digestion data; Abstract describes protease digestion to assess folding, consistent with ΔG-based stability.
urn:mavedb:00000249-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is a log10 K50 from trypsin protease digestion; this measures folding/stability with higher K50 indicating greater resistance/stability. No evidence of WT-centered normalization, so the closest monotonic mapping is Stability_K50/K50_RAW. dG columns are present but not the primary score.
urn:mavedb:00000249-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method specifies the primary score as log10 K50 from chymotrypsin digestion; no WT-centered normalization or relative scaling is described. Protease K50 assays map to stability with higher K50 indicating greater resistance/folding. dG columns exist but are secondary to the score.
urn:mavedb:00000250-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Primary score column is log10 K50 from trypsin protease-digestion to assess folding; higher K50 indicates greater stability. Metadata explicitly states the score is log10 K50; dG columns are derived, so mapping to K50 stability is most direct.
urn:mavedb:00000250-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Protease digestion stability assay reporting K50; method notes 'score column is the log10 K50 value' and not WT-centered or relative. Best match is Stability_K50 K50_RAW (monotonic higher K50 = more stable). dG is provided as an auxiliary column, not the primary score.
urn:mavedb:00000250-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states scores are dG values fit from protease digestion counts; AbstractText links assay to folding stability. This maps to Stability_DG (DG_KCAL_MOL). No explicit WT-centering given, so neutral band not available.
urn:mavedb:00000251-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fit from protease digestion data to assess folding; Abstract describes protease-based folding measurement. This maps to Stability_DG with absolute dG (kcal/mol), where more negative dG indicates greater stability/function. No WT-relative normalization or thresholds provided.
urn:mavedb:00000251-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText explicitly states the primary score is a log10 K50 from trypsin digestion to assess folding; no WT-centered or relative normalization is described, so the closest monotonic mapping is K50_RAW (higher K50 implies greater stability/function). dG columns exist but are absolute and not clearly WT-referenced.
urn:mavedb:00000251-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is log10 K50 from chymotrypsin digestion; no evidence of WT-relative centering or standardization, and dG is secondary. Thus map to Stability_K50 K50_RAW.
urn:mavedb:00000252-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states the score is a dG value fit from protease-digestion data to assess folding; abstract describes measuring folding via trypsin/chymotrypsin. This matches Stability_DG (DG_KCAL_MOL), where more negative dG implies greater stability/function.
urn:mavedb:00000252-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the score is a log10 K50 derived from sequence count ratios in a trypsin digestion folding assay; dG was also computed but the primary score column is log10 K50.
urn:mavedb:00000252-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is log10 K50 from chymotrypsin digestion and not WT-centered; dG is provided separately but not as the primary score. K50-based folding/stability assay → map to Stability_K50 (K50_RAW) with higher K50 indicating more stability.
urn:mavedb:00000253-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method states the score column is a dG value fitted from protease digestion (trypsin/chymotrypsin) to assess folding; dG of folding maps to Stability_DG with lower dG indicating greater stability/function.
urn:mavedb:00000253-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is the log10 K50 value from protease titrations, not WT-relative or centered; dG columns are secondary. Thus map to Stability_K50 K50_RAW with higher K50 indicating more stability.
urn:mavedb:00000253-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is log10 K50 derived from sequence count ratios; no indication of WT-centered normalization. Protease digestion assays infer folding stability where higher K50 implies greater stability/resistance. dG is provided but described as protease-specific (not clearly ΔΔG relative to WT), so K50_RAW best captures the assay semantics.
urn:mavedb:00000254-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Metadata states the score is log10 K50 from chymotrypsin protease digestion; K50 measures protease resistance (folding/stability). No WT-anchoring or centering is indicated; dG columns are derived, not primary.
urn:mavedb:00000254-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText: score is a log10 K50 derived from trypsin proteolysis; no WT-anchored or centered normalization described. dG columns exist but the primary scoreset is K50.
urn:mavedb:00000254-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method text states the score is a dG value fitted from protease digestion data to capture folding stability; lower dG (more negative) indicates more stable folding. This matches Stability_DG with DG_KCAL_MOL semantics.
urn:mavedb:00000255-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Abstract/method describe protease digestion to quantify folding; score column is a fitted dG per sequence across proteases, which maps to folding free energy where lower (more negative) indicates increased stability.
urn:mavedb:00000255-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Primary score is log10 K50 from chymotrypsin proteolysis; higher K50 implies greater stability. Scores are not WT-relative or centered (metadata: 'score column is the log10 K50 value ...'). Although dG columns exist, the main score is K50-derived, so mapped to Stability_K50 K50_RAW as the closest monotonic spec.
urn:mavedb:00000255-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is log10 K50 from trypsin digestion to assess folding; no indication of WT-anchored or centered normalization, so map to raw K50 stability with higher K50 indicating greater stability.
urn:mavedb:00000256-a-1	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText explicitly states the score is a log10 K50 from trypsin digestion to assess folding stability; higher K50 implies greater protease resistance (more stability). Although dG columns exist, the primary score is log10 K50, so Stability_K50 LOG10_K50_STANDARDIZED is the closest monotonic mapping.
urn:mavedb:00000256-a-2	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the score is a log10 K50 derived from protease digestion to assess folding; this is a stability K50 metric with higher values indicating greater folding/stability. No explicit WT-anchoring or thresholds are provided, so neutral bands are not specified.
urn:mavedb:00000256-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	MethodText states 'dG values were fit directly using a Bayesian model' across trypsin/chymotrypsin; Abstract describes protease digestion to assess folding, consistent with stability ΔG. Thus Stability_DG (DG_KCAL_MOL, lower is more stable/function) is the closest monotonic mapping.
urn:mavedb:00000257-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is a log10 K50 from protease digestion; no indication of WT-centered normalization. DatasetColumns lists dG but the main score is K50-based, so map to K50_RAW with higher K50 indicating more stable/folded.
urn:mavedb:00000257-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is log10 K50 from trypsin digestion ('score' is log10 K50 calculated from sequence count ratios) with no WT-centered normalization; dG is derived but not the main score. Therefore map to Stability_K50 K50_RAW (higher K50 implies more stability/function).
urn:mavedb:00000257-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Abstract and methods state scores are dG values inferred from protease digestion (trypsin/chymotrypsin) via a Bayesian model to assess folding stability; thus ΔG of folding where lower (more negative) indicates higher stability.
urn:mavedb:00000258-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method states the score is a dG folding value fit across trypsin/chymotrypsin digestion; dG lower (more negative) indicates increased stability/function. No WT-relative normalization or thresholds reported.
urn:mavedb:00000258-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is log10 K50 from trypsin digestion (folding assay). No WT-centering or relative normalization described; thus map to raw K50 stability where higher K50 indicates greater protease resistance (more function).
urn:mavedb:00000258-a-2	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the score column is a log10 K50 from chymotrypsin digestion (folding stability readout) with no WT-anchoring or centering; thus map to Stability_K50 K50_RAW (higher K50 = more stable). A dG column exists but is not the primary score.
urn:mavedb:00000259-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is a log10 K50 from trypsin digestion (folding stability) with no WT-centering; datasetColumns lists 'score' as log10 K50 and additional derived dG columns, so mapping to raw K50 stability is the closest monotonic specification.
urn:mavedb:00000259-a-2	Stability_K50	StabilityK50Subtype	LOG10_K50_STANDARDIZED	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0 (after log2 fold)	log2_from_relative	StabilityK50Interpreter	[NA, NA]	false	false	false	false	MethodText states the primary score is the log10 K50 from protease digestion, a folding/stability assay where higher K50 indicates greater stability; dG is ancillary.
urn:mavedb:00000259-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method states the score column is the dG value fit from protease digestion across replicates/proteases, measuring folding stability; thus a ΔG stability assay with lower ΔG indicating more stable/function.
urn:mavedb:00000260-0-1	Stability_DG	StabilityDGSubtype	DG_KCAL_MOL	LOWER_IS_FUNCTION	CENTERED_0	WT delta~=0	kcal/mol	StabilityDGInterpreter	[NA, NA]	false	false	false	false	Method text states the score column is a dG value fit from protease-digestion data to quantify folding; abstract describes protease digestion to assess folding, mapping to ΔG-based stability.
urn:mavedb:00000260-a-1	Stability_K50	StabilityK50Subtype	K50_RAW	HIGHER_IS_FUNCTION	RAW	Assay-defined	K50	StabilityK50Interpreter	[NA, NA]	false	false	false	false	Method states the primary score is log10 K50 from trypsin proteolysis; not WT-relative or centered. This is a protease-based folding stability assay, so map to Stability_K50 K50_RAW (higher K50 = more stable). dG columns exist but the main score is K50.
