URN	RefSeq_IDs	Ensembl_IDs	Experiment_Type	DMS_Assay_Type	Score_Interpretation	Score_Hypothesis_Evaluation	Timestamp
urn:mavedb:00000094-a-5	Not Found	Not Found	DMS	Binding Assay	The score represents the V1/2 value of current-reduced variants co-expressed with wild-type KCNQ4.	Does not fit: The score represents the half-activation voltage (V1/2), not a direct measure of function relative to WT.	2025-04-17 13:49:20
urn:mavedb:00000094-a-12	Not Found	Not Found	DMS	Binding Assay	The score represents the V1/2 value of synonymous variants expressed alone.	Does not fit: The score represents the half-activation voltage (V1/2), not a direct measure of function relative to WT.	2025-04-17 13:49:20
urn:mavedb:00000094-a-7	Not Found	Not Found	DMS	Binding Assay	The score represents the V1/2 value of variants with normal currents and large rightward shifts in V1/2 in the homozygous state, co-expressed with wild-type KCNQ4.	Does not fit: The score represents the half-activation voltage (V1/2), not a direct measure of function relative to WT.	2025-04-17 13:49:20
urn:mavedb:00000094-a-13	Not Found	Not Found	DMS	Binding Assay	The score represents the current amplitude of synonymous variants expressed alone.	Fits	2025-04-17 13:49:20
urn:mavedb:00000094-a-14	Not Found	Not Found	DMS	Binding Assay	The score represents the normalized current of a KCNQ1 variant relative to wild-type KCNQ1 in the homozygous state.	Fits	2025-04-17 13:49:25
urn:mavedb:00000094-a-4	Not Found	Not Found	DMS	Binding Assay	The score represents the normalized current of a current-reduced KCNQ4 variant when co-expressed with wild-type KCNQ4.	Fits	2025-04-17 13:49:25
urn:mavedb:00000094-a-11	Not Found	Not Found	DMS	Binding Assay	The score represents the V1/2 value of a KCNQ4 variant (with normal currents and large leftward shifts in V1/2 in the homozygous state) when co-expressed with wild-type KCNQ4.	Does not fit: The score represents V1/2, not a normalized current. Lower scores indicate a leftward shift, which is considered GOF in this experiment.	2025-04-17 13:49:25
urn:mavedb:00000094-a-8	Not Found	Not Found	DMS	Binding Assay	The score represents the normalized current of a current-enhanced KCNQ4 variant when co-expressed with wild-type KCNQ4.	Fits	2025-04-17 13:49:25
urn:mavedb:00000094-a-9	Not Found	Not Found	DMS	Binding Assay	The score represents the V1/2 value of a current-enhanced KCNQ4 variant when co-expressed with wild-type KCNQ4.	Does not fit: The score represents V1/2, not a normalized current. Lower scores indicate a leftward shift, which is considered GOF in this experiment.	2025-04-17 13:49:25
urn:mavedb:00000094-a-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased normalized current amplitude of the KCNQ4 channel.	Fits	2025-04-17 13:49:29
urn:mavedb:00000094-a-10	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased normalized current amplitude of the KCNQ4 channel when the variant is co-expressed with wild-type.	Fits	2025-04-17 13:49:29
urn:mavedb:00000095-a-1	Not Found	Not Found	DMS	Enzyme Activity	Higher scores indicate increased CYP2C9 enzyme activity in the yeast activity-based protein profiling assay.	Fits	2025-04-17 13:49:29
urn:mavedb:00000095-b-1	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate increased CYP2C9 protein abundance in HEK293T cells.	Fits	2025-04-17 13:49:29
urn:mavedb:00000096-a-1	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased GCK activity as measured by functional complementation in yeast.	Fits	2025-04-17 13:49:29
urn:mavedb:00000096-b-1	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate increased cellular protein abundance of the GCK variant.	Fits	2025-04-17 13:49:33
urn:mavedb:00000097-k-1	Not Found	Not Found	DMS	Other	The score represents the log2-transformed ratio of variant frequencies at day 11 over input, normalized using day 5 data.	Fits	2025-04-17 13:49:33
urn:mavedb:00000097-i-1	Not Found	Not Found	DMS	Other	The score represents the log2-transformed ratio of variant frequencies at day 11 over input, normalized using day 5 data.	Fits	2025-04-17 13:49:33
urn:mavedb:00000097-w-1	Not Found	Not Found	DMS	Other	The score represents the log2-transformed ratio of variant frequencies at day 11 over input, normalized using day 5 data.	Fits	2025-04-17 13:49:33
urn:mavedb:00000097-z-1	Not Found	Not Found	DMS	Other	The score represents the log2-transformed ratio of variant frequencies at day 11 over input, normalized using day 5 data.	Fits	2025-04-17 13:49:33
urn:mavedb:00000097-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, corrected for positional bias using day 5 data, indicating the variant's effect on cell growth/survival.	Fits	2025-04-17 13:49:38
urn:mavedb:00000097-c-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, corrected for positional bias using day 5 data, indicating the variant's effect on cell growth/survival.	Fits	2025-04-17 13:49:38
urn:mavedb:00000097-m-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, corrected for positional bias using day 5 data, indicating the variant's effect on cell growth/survival.	Fits	2025-04-17 13:49:38
urn:mavedb:00000097-0-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents a normalized function score, where higher scores indicate a greater contribution to the function being assayed, and the scores are scaled to match median synonymous and nonsense variant scores across the dataset.	Fits	2025-04-17 13:49:38
urn:mavedb:00000097-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, corrected for positional bias using day 5 data, indicating the variant's effect on cell growth/survival.	Fits	2025-04-17 13:49:38
urn:mavedb:00000097-d-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 frequencies, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:43
urn:mavedb:00000097-e-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 frequencies, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:43
urn:mavedb:00000097-j-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 frequencies, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:43
urn:mavedb:00000097-f-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 frequencies, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:43
urn:mavedb:00000097-n-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 frequencies, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:43
urn:mavedb:00000097-g-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:48
urn:mavedb:00000097-h-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:48
urn:mavedb:00000097-l-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:48
urn:mavedb:00000097-s-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:48
urn:mavedb:00000097-o-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:48
urn:mavedb:00000097-p-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:52
urn:mavedb:00000097-q-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:52
urn:mavedb:00000097-r-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:52
urn:mavedb:00000097-x-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:52
urn:mavedb:00000097-t-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant frequencies at day 11 compared to the input, normalized using day 5 data, indicating the variant's effect on cell growth or survival.	Fits	2025-04-17 13:49:52
urn:mavedb:00000097-u-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a greater log2 ratio of variant frequency at day 11 compared to the input, adjusted for positional bias.	Fits	2025-04-17 13:49:57
urn:mavedb:00000097-v-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a greater log2 ratio of variant frequency at day 11 compared to the input, adjusted for positional bias.	Fits	2025-04-17 13:49:57
urn:mavedb:00000097-y-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a greater log2 ratio of variant frequency at day 11 compared to the input, adjusted for positional bias.	Fits	2025-04-17 13:49:57
urn:mavedb:00000098-a-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate a greater log10 ratio of variant frequency post-drug challenge compared to the initial library, rescaled to a 0-100 scale based on nonsense and synonymous variants.	Does not fit: The scores are rescaled, so the interpretation is relative to synonymous and nonsense variants, not a direct deviation from WT.	2025-04-17 13:49:57
urn:mavedb:00000099-a-1	NM_000539.3	Not Found	DMS	Sorting-based	Higher scores indicate a greater log2 ratio of the ratio of variant to wildtype counts in the high-expressing cells compared to the low-expressing cells.	Fits	2025-04-17 13:49:57
urn:mavedb:00000100-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of TEM-1 variants based on ampicillin resistance.	Fits	2025-04-17 13:50:02
urn:mavedb:00000100-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of TEM-1 variants based on ampicillin resistance.	Fits	2025-04-17 13:50:02
urn:mavedb:00000101-a-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate increased variant abundance in high-signal bins, normalized to wild type and nonsense variants.	Fits	2025-04-17 13:50:02
urn:mavedb:00000102-0-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate increased variant abundance in high-signal bins, normalized to wild type and nonsense variants.	Fits	2025-04-17 13:50:02
urn:mavedb:00000103-b-1	NP_002736.3	Not Found	DMS	Growth-based (non-yeast)	Scores represent the log2 transformed average of 4 replicates normalized to total reads, where DOX induction enriches for LOF mutants and depletes GOF mutants.	Fits	2025-04-17 13:50:02
urn:mavedb:00000103-c-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased growth/activity under SCH772984 selection, relative to the wild-type.	Fits	2025-04-17 13:50:06
urn:mavedb:00000103-a-1	Not Found	Not Found	DMS	N/A	The score represents the log2 transformed average mutant sequencing reads at the early time point, normalized to total reads per lane.	Does not fit: This score represents the abundance of a variant at the beginning of the experiment, not its effect on function.	2025-04-17 13:50:06
urn:mavedb:00000103-d-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased growth/activity under VRT-11E selection, relative to the wild-type.	Fits	2025-04-17 13:50:06
urn:mavedb:00000104-a-2	Not Found	ENST00000366794	DMS	Sorting-based	The score reflects the enrichment of a PARP1 mutant in a talazoparib-resistant population after CRISPR-Cas9 editing and cell sorting.	Fits	2025-04-17 13:50:06
urn:mavedb:00000104-a-1	Not Found	ENST00000366794	DMS	Sorting-based	The score reflects the enrichment of a PARP1 mutant in a talazoparib-resistant population after CRISPR-Cas9 editing and cell sorting.	Fits	2025-04-17 13:50:06
urn:mavedb:00000105-a-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased relative binding affinity to IgG-FC compared to wildtype.	Fits	2025-04-17 13:50:11
urn:mavedb:00000106-a-1	Not Found	Not Found	DMS	Enzyme Activity	Higher scores indicate a higher normalized frequency of the variant in the selected library compared to the initial library, suggesting increased deaminase activity.	Fits	2025-04-17 13:50:11
urn:mavedb:00000106-c-1	Not Found	Not Found	DMS	Enzyme Activity	Higher scores indicate a higher normalized frequency of the variant in the selected library compared to the initial library, suggesting increased deaminase activity.	Fits	2025-04-17 13:50:11
urn:mavedb:00000106-b-1	Not Found	Not Found	DMS	Enzyme Activity	Higher scores indicate a higher normalized frequency of the variant in the selected library compared to the initial library, suggesting increased deaminase activity.	Fits	2025-04-17 13:50:11
urn:mavedb:00000108-a-2	NM_000190.4	ENSG00000256269	DMS	Yeast Complementation	Higher scores indicate a greater ability of the HMBS variant to complement the yeast HEM3 temperature-sensitive mutation, suggesting increased HMBS function.	Fits	2025-04-17 13:50:11
urn:mavedb:00000108-a-3	NM_000190.4	ENSG00000256269	DMS	Yeast Complementation	Higher scores indicate better functional complementation of the yeast HEM3 gene by the human HMBS variant.	Fits	2025-04-17 13:50:15
urn:mavedb:00000108-a-1	NM_000190.4	ENSG00000256269	DMS	Yeast Complementation	Higher scores indicate better functional complementation of the yeast HEM3 gene by the human HMBS variant.	Fits	2025-04-17 13:50:15
urn:mavedb:00000109-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Scores reflect the effect of JAK1 variants on cell proliferation or surface marker expression under IFN-gamma selection.	Fits	2025-04-17 13:50:15
urn:mavedb:00000110-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Scores represent the log10 ratio of variant frequency in selected (LB+SDS+EDTA) versus unselected conditions, relative to wild type.	Fits	2025-04-17 13:50:15
urn:mavedb:00000110-a-2	Not Found	Not Found	DMS	Growth-based (non-yeast)	Scores represent the log10 ratio of variant frequency in selected (LB) versus unselected conditions, relative to wild type.	Fits	2025-04-17 13:50:15
urn:mavedb:00000110-a-3	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased growth of the MlaC variant in the presence of SDS and EDTA relative to the unselected condition.	Fits	2025-04-17 13:50:20
urn:mavedb:00000113-a-1	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased survival in media lacking adenine due to aggregation of Sup35N-fusions.	Fits	2025-04-17 13:50:20
urn:mavedb:00000113-a-2	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased survival in media lacking adenine due to aggregation of Sup35N-fusions.	Fits	2025-04-17 13:50:20
urn:mavedb:00000113-a-3	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased survival in media lacking adenine due to aggregation of Sup35N-fusions.	Fits	2025-04-17 13:50:20
urn:mavedb:00000114-a-1	NM_004562	Not Found	DMS	Sorting-based	Higher scores indicate increased protein abundance of Parkin variants in human cells.	Fits	2025-04-17 13:50:20
urn:mavedb:00000115-a-13	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding fitness between KRAS and SOS1.	Fits	2025-04-17 13:50:24
urn:mavedb:00000115-a-14	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding fitness between KRAS and SOS1.	Fits	2025-04-17 13:50:24
urn:mavedb:00000115-a-15	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding fitness between KRAS and SOS1.	Fits	2025-04-17 13:50:24
urn:mavedb:00000115-a-16	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding fitness between KRAS and PIK3CGRDB.	Fits	2025-04-17 13:50:24
urn:mavedb:00000115-a-17	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding fitness between KRAS and PIK3CGRDB.	Fits	2025-04-17 13:50:24
urn:mavedb:00000115-a-23	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased abundance fitness of KRAS.	Fits	2025-04-17 13:50:28
urn:mavedb:00000115-a-18	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness of KRAS to PIK3CGRDB.	Fits	2025-04-17 13:50:28
urn:mavedb:00000115-a-19	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness of KRAS to RALGDSRDB.	Fits	2025-04-17 13:50:28
urn:mavedb:00000115-a-28	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased abundance fitness of KRAS.	Fits	2025-04-17 13:50:28
urn:mavedb:00000115-a-25	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness of KRAS to RAF1RDB.	Fits	2025-04-17 13:50:28
urn:mavedb:00000115-a-20	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness of KRAS to RALGDSRDB.	Fits	2025-04-17 13:50:32
urn:mavedb:00000115-a-27	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased abundance fitness of KRAS.	Fits	2025-04-17 13:50:32
urn:mavedb:00000115-a-21	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness of KRAS to RALGDSRDB.	Fits	2025-04-17 13:50:32
urn:mavedb:00000115-a-22	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness of KRAS to RAF1RDB.	Fits	2025-04-17 13:50:32
urn:mavedb:00000115-a-24	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness of KRAS to RAF1RDB.	Fits	2025-04-17 13:50:32
urn:mavedb:00000115-a-3	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a more favorable binding free energy for the KRAS-SOS1 interaction.	Fits	2025-04-17 13:50:36
urn:mavedb:00000115-a-6	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a more favorable binding free energy for the KRAS-RAF1RBD interaction.	Fits	2025-04-17 13:50:36
urn:mavedb:00000115-a-7	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a more favorable folding free energy for KRAS.	Fits	2025-04-17 13:50:36
urn:mavedb:00000115-a-12	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness between KRAS and DARPin K27.	Fits	2025-04-17 13:50:36
urn:mavedb:00000115-a-4	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a more favorable binding free energy for the KRAS-PIK3CGRBD interaction.	Fits	2025-04-17 13:50:36
urn:mavedb:00000115-a-5	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater binding free energy change of the KRAS-RALGDSRBD interaction.	Fits	2025-04-17 13:50:40
urn:mavedb:00000115-a-8	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness between KRAS and DARPin K55.	Fits	2025-04-17 13:50:40
urn:mavedb:00000115-a-9	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness between KRAS and DARPin K55.	Fits	2025-04-17 13:50:40
urn:mavedb:00000115-a-10	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness between KRAS and DARPin K27.	Fits	2025-04-17 13:50:40
urn:mavedb:00000115-a-11	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased binding fitness between KRAS and DARPin K27.	Fits	2025-04-17 13:50:40
urn:mavedb:00000115-a-26	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding fitness of KRAS to DARPin K55.	Fits	2025-04-17 13:50:45
urn:mavedb:00000115-a-1	Not Found	Not Found	DMS	Binding Assay	Scores represent the change in binding free energy of the KRAS-DARPin K55 interaction.	Does not fit: The score represents a change in free energy, not a direct measure of function relative to wild type.	2025-04-17 13:50:45
urn:mavedb:00000115-a-2	Not Found	Not Found	DMS	Binding Assay	Scores represent the change in binding free energy of the KRAS-DARPin K27 interaction.	Does not fit: The score represents a change in free energy, not a direct measure of function relative to wild type.	2025-04-17 13:50:45
urn:mavedb:00000116-0-1	Not Found	Not Found	DMS	Protein Stability	Scores represent the change in free energy (dG) calculated from protease digestion data.	Does not fit: The score represents a change in free energy, not a direct measure of function relative to wild type.	2025-04-17 13:50:45
urn:mavedb:00000116-a-1	Not Found	Not Found	DMS	Protein Stability	Scores represent the log10 K50 value calculated from the ratio of sequence counts after trypsin digestion.	Does not fit: The score represents the log10 of the K50 value, which is related to protein stability but not directly comparable to the provided hypothesis.	2025-04-17 13:50:45
urn:mavedb:00000116-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 13:50:50
urn:mavedb:00000117-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 13:50:50
urn:mavedb:00000117-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 13:50:50
urn:mavedb:00000117-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: More negative dG values indicate increased stability, while more positive values indicate decreased stability.	2025-04-17 13:50:50
urn:mavedb:00000118-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 13:50:50
urn:mavedb:00000118-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, while lower scores indicate decreased resistance and decreased stability.	2025-04-17 13:50:55
urn:mavedb:00000118-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, which is the change in Gibbs free energy, calculated from the counts across replicates and proteases, indicating protein stability.	Does not fit: Lower dG values indicate greater stability, while higher dG values indicate lower stability.	2025-04-17 13:50:55
urn:mavedb:00000119-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, while lower scores indicate decreased resistance and decreased stability.	2025-04-17 13:50:55
urn:mavedb:00000119-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, while lower scores indicate decreased resistance and decreased stability.	2025-04-17 13:50:55
urn:mavedb:00000119-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, which is the change in Gibbs free energy, calculated from the counts across replicates and proteases, indicating protein stability.	Does not fit: Lower dG values indicate greater stability, while higher dG values indicate lower stability.	2025-04-17 13:50:55
urn:mavedb:00000120-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability against digestion, which would be a gain of function, but the hypothesis states that scores > 1 are GoF/increased expression, not stability.	2025-04-17 13:50:59
urn:mavedb:00000120-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability against digestion, which would be a gain of function, but the hypothesis states that scores > 1 are GoF/increased expression, not stability.	2025-04-17 13:50:59
urn:mavedb:00000120-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: dG values represent the change in free energy, where lower dG values indicate greater stability, which is the opposite of the hypothesis.	2025-04-17 13:50:59
urn:mavedb:00000121-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: dG values represent the change in free energy, where lower dG values indicate greater stability, which is the opposite of the hypothesis.	2025-04-17 13:50:59
urn:mavedb:00000121-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability against digestion, which would be a gain of function, but the hypothesis states that scores > 1 are GoF/increased expression, not stability.	2025-04-17 13:50:59
urn:mavedb:00000121-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 13:51:04
urn:mavedb:00000122-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 13:51:04
urn:mavedb:00000122-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 13:51:04
urn:mavedb:00000122-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the protein's stability.	Does not fit: dG values represent the change in free energy, where lower dG values indicate greater stability.	2025-04-17 13:51:04
urn:mavedb:00000123-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 13:51:04
urn:mavedb:00000123-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 13:51:09
urn:mavedb:00000123-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, where a higher dG value indicates increased protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 13:51:09
urn:mavedb:00000124-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 13:51:09
urn:mavedb:00000124-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 13:51:09
urn:mavedb:00000124-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, where a higher dG value indicates increased protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 13:51:09
urn:mavedb:00000125-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of LoF.	2025-04-17 13:51:14
urn:mavedb:00000125-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of LoF.	2025-04-17 13:51:14
urn:mavedb:00000125-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 13:51:14
urn:mavedb:00000126-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 13:51:14
